reporting_date; total 
2025-09-30 00:00:00.000; 136.526 
2025-08-29 00:00:00.000; 135.741 
2025-07-31 00:00:00.000; 135.392 
2025-06-30 00:00:00.000; 135.327 
2025-05-28 00:00:00.000; 135.462 
2025-04-30 00:00:00.000; 134.878 
2025-03-27 00:00:00.000; 135.429 
2025-02-28 00:00:00.000; 135.740 
2025-01-31 00:00:00.000; 134.700 
2024-12-31 00:00:00.000; 134.706 
2024-11-29 00:00:00.000; 134.506 
2024-10-31 00:00:00.000; 134.266 
2024-09-30 00:00:00.000; 133.496 
2024-08-30 00:00:00.000; 132.565 
2024-07-31 00:00:00.000; 132.810 
2024-06-28 00:00:00.000; 132.223 
2024-05-31 00:00:00.000; 132.002 
2024-04-30 00:00:00.000; 131.758 
2024-03-28 00:00:00.000; 133.072 
2024-02-29 00:00:00.000; 131.023 
2024-01-31 00:00:00.000; 130.617 
2023-12-29 00:00:00.000; 131.026 
2023-11-30 00:00:00.000; 130.277 
2023-10-31 00:00:00.000; 129.900 
2023-09-29 00:00:00.000; 129.405 
2023-08-31 00:00:00.000; 129.450 
2023-07-31 00:00:00.000; 128.779 
2023-06-27 00:00:00.000; 129.653 
2023-05-31 00:00:00.000; 127.730 
2023-04-28 00:00:00.000; 127.280 
2023-03-31 00:00:00.000; 127.752 
2023-02-28 00:00:00.000; 127.682 
2023-01-31 00:00:00.000; 127.232 
2022-12-30 00:00:00.000; 127.713 
2022-11-30 00:00:00.000; 127.438 
2022-10-31 00:00:00.000; 127.333 
2022-09-30 00:00:00.000; 127.931 
2022-08-31 00:00:00.000; 127.015 
2022-07-29 00:00:00.000; 126.208 
2022-06-30 00:00:00.000; 126.595 
2022-05-31 00:00:00.000; 126.247 
2022-04-28 00:00:00.000; 126.590 
2022-03-31 00:00:00.000; 126.450 
2022-02-25 00:00:00.000; 126.189 
2022-01-31 00:00:00.000; 125.993 
2021-12-31 00:00:00.000; 126.231 
2021-11-30 00:00:00.000; 126.424 
2021-10-29 00:00:00.000; 126.123 
2021-09-30 00:00:00.000; 125.846 
2021-08-31 00:00:00.000; 124.863 
2021-07-30 00:00:00.000; 124.477 
2021-06-30 00:00:00.000; 124.618 
2021-05-31 00:00:00.000; 124.099 
2021-04-30 00:00:00.000; 124.845 
2021-03-31 00:00:00.000; 124.893 
2021-02-26 00:00:00.000; 123.719 
2021-01-29 00:00:00.000; 121.807 
2020-12-30 00:00:00.000; 122.085 
2020-11-30 00:00:00.000; 121.929 
2020-10-27 00:00:00.000; 121.005 
2020-09-30 00:00:00.000; 120.705 
2020-08-31 00:00:00.000; 119.374 
2020-07-30 00:00:00.000; 119.490 
2020-06-30 00:00:00.000; 118.898 
2020-05-29 00:00:00.000; 118.246 
2020-04-30 00:00:00.000; 119.078 
2020-03-31 00:00:00.000; 119.228 
2020-02-28 00:00:00.000; 118.700 
2020-01-31 00:00:00.000; 117.480 
2019-12-31 00:00:00.000; 116.725 
2019-11-29 00:00:00.000; 116.494 
2019-10-31 00:00:00.000; 116.806 
2019-09-30 00:00:00.000; 115.949 
2019-08-30 00:00:00.000; 114.052 
2019-07-31 00:00:00.000; 113.766 
2019-06-28 00:00:00.000; 113.009 
2019-05-31 00:00:00.000; 114.114 
2019-04-30 00:00:00.000; 112.791 
2019-03-29 00:00:00.000; 111.549 
2019-02-28 00:00:00.000; 110.971 
2019-01-31 00:00:00.000; 109.697 
2018-12-31 00:00:00.000; 110.182 
2018-11-30 00:00:00.000; 110.274 
2018-10-31 00:00:00.000; 110.238 
2018-09-28 00:00:00.000; 109.776 
2018-08-31 00:00:00.000; 109.034 
2018-07-31 00:00:00.000; 108.534 
2018-06-29 00:00:00.000; 107.619 
2018-05-31 00:00:00.000; 108.553 
2018-04-30 00:00:00.000; 108.264 
2018-03-29 00:00:00.000; 107.466 
2018-02-28 00:00:00.000; 106.777 
2018-01-31 00:00:00.000; 105.796 
2017-12-30 00:00:00.000; 106.163 
2017-11-30 00:00:00.000; 106.415 
2017-10-31 00:00:00.000; 106.151 
2017-09-29 00:00:00.000; 104.747 
2017-08-31 00:00:00.000; 104.466 
2017-07-31 00:00:00.000; 103.478 
2017-06-30 00:00:00.000; 105.925 
2017-05-31 00:00:00.000; 104.901 
2017-04-28 00:00:00.000; 103.113 
2017-03-31 00:00:00.000; 501.959 
2017-02-28 00:00:00.000; 499.360 
2017-01-31 00:00:00.000; 496.915 
